amr1
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Amrozi menuduh saudaranya, yang ia sebut """"saksi"""", dengan sengaja mendistorsi buktinya.""
(z0 / menu-01
                        :ARG1 (z7 / marinir)
                        :location (z8 / pos
                                      :mod (z9 / pemeriksaan))))
    :time (z10 / entitas-tanggal
               :weekday (z11 / rabu)))"
"# ::id 3932
# ::annotator indoamrbart-mbart-fted
# ::snt Di antara proposal adalah satu bagi Zimbabwe untuk memiliki kesempatan untuk bergabung kembali dengan tubuh 54 anggota sebelum pertemuan CHOGM berikutnya dalam dua tahun.
(z0 / kesempatan-01
    :ARG0 (z1 / negara
              :wiki ""Zimbabwe""
              :name (z2 / nama
                        :op1 ""Zimbabwe""))
    :ARG1 (z3 / bergabung-01
              :ARG0 z1
              :ARG1 (z4 / tubuh
                        :poss (z5 / anggota))
              :manner (z6 / kembali)
              :time (z7 / sebelum
                        :op1 (z8 / bertemu-01
                                 :ARG0 (z9 / organisasi
                                           :wiki ""CHOGM""
                                           :name (z10 / nama
                                                      :op1 ""CHOGM""))
                                 :mod (z11 / selanjutnya)
                                 :duration (z12 / kuantitas-sementara
                                                :unit (z13 / tahun))))))"
"# ::id 3933
# ::annotator indoamrbart-mbart-fted
# ::snt Persentase orang Amerika tanpa cakupan kesehatan naik dari 14,6 menjadi 15,2.
(z0 / naik-01
    :ARG0 (z1 / entitas-laju-91
              :ARG1 (z2 / orang
                        :mod (z3 / negara
                                 :wiki ""UnitedStates""
                                 :name (z4 / nama
                                           :op1 ""America"")))
              :ARG2 (z5 / entitas-laju-91
                        :ARG1 (z6 / orang
                                  :mod z3)
                        :ARG2 (z7 / entitas-laju-91
                                  :ARG1 (z8 / kesehatan)
                                  :ARG2 (z9 / entitas-laju-91
                                            :ARG1 (z10 / entitas-laju-91
                                                       :ARG2 (z11 / entitas-tanggal))))))
    :ARG4 (z12 / entitas-laju-91
               :ARG1 (z13 / entitas-laju-91
                          :ARG1 (z14 / entitas-laju-91
                                     :ARG2 (z15 / entitas-tanggal)))
               :ARG2 (z16 / entitas-laju-91
                          :ARG1 (z17 / entitas-laju-91
                                     :ARG2 (z18 / entitas-tanggal)))))"
"# ::id 3934
# ::annotator indoamrbart-mbart-fted
# ::snt Putusan kemarin adalah langkah pertama yang bagus menuju liputan yang lebih baik bagi penduduk Maine yang miskin, katanya, tetapi ada lebih banyak yang harus dilakukan.
(z0 / ujar-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / dan
              :op1 (z3 / langkah-01
                       :ARG0 (z4 / putus-01
                                 :time (z5 / kemarin))
                       :ARG2 (z6 / liputan-01
                                 :ARG0 (z7 / orang
                                           :ARG0-of (z8 / memiliki-peran-rel-91
                                                        :ARG2 (z9 / penduduk
                                                                  :mod (z10 / miskin))))
                                 :ARG1-of (z11 / baik-01
                                               :ARG2-of (z12 / memiliki-derajat-91
                                                             :ARG1-of (z13 / baik-01)
                                                             :ARG3 (z14 / lebih))))
                       :ord (z15 / entitas-ordinal)
                       :mod (z16 / bagus)))
    :op2 (z17 / obligasi-01
              :ARG1 (z18 / membuat-01
                         :ARG1 (z19 / lebih))))"
"# ::id 3935
# ::annotator indoamrbart-mbart-fted
# ::snt Putusan minggu lalu oleh Hakim Distrik A. Lee R. West di Kota Oklahoma bahwa FTC tidak memiliki wewenang untuk menjalankan pendaftaran memicu angin puyuh kegiatan di Washington.
(z0 / putus-01
    :ARG0 (z1 / hakim
              :wiki -
              :name (z2 / nama
                        :op1 ""A.""
                        :op2 ""Lee""
                        :op3 ""R.""
                        :op4 ""West"")
              :location (z3 / kota
                            :wiki ""Oklahoma""
                            :name (z4 / nama
                                      :op1 ""Oklahoma"")))
    :ARG1 (z5 / otorisasi-01
              :ARG0 (z6 / organisasi-pemerintah
                        :wiki ""FederalTradeCommission""
                        :name (z7 / nama
                                  :op1 ""FTC""))
              :ARG1 (z8 / lari-02
                        :ARG0 z6
                        :ARG1 (z9 / pendaftaran)
                        :ARG0-of (z10 / percikan-01
                                      :ARG1 (z11 / angin
                                                 :mod (z12 / puyuh))
                                      :location (z13 / kegiatan
                                                     :location (z14 / kota
                                                                    :wiki ""Washington,D.C.""
                                                                    :name (z15 / nama
                                                                               :op1 ""Washington""))))))
    :time (z16 / minggu
               :mod (z17 / terakhir)))"
"# ::id 3936
# ::annotator indoamrbart-mbart-fted
# ::snt Tujuh orang dibawa ke rumah sakit hari ini setelah penggelinciran kedua di London Underground dalam waktu kurang dari 48 jam.
(z0 / bawa-01
    :ARG0 (z1 / orang)
    :destination (z2 / rumah
                     :mod (z3 / sakit))
    :time (z4 / hari
              :mod (z5 / ini))
    :time (z6 / setelah
              :op1 (z7 / penggelinciran
                       :ord (z8 / entitas-ordinal)
                       :location (z9 / stasiun
                                     :wiki ""LondonUnderground""
                                     :name (z10 / nama
                                                :op1 ""London""
                                                :op2 ""Underground"")))
              :duration (z11 / kurang-dari
                             :op1 (z12 / kuantitas-sementara
                                       :unit (z13 / jam)))))"
"# ::id 3937
# ::annotator indoamrbart-mbart-fted
# ::snt Keyakinan cepat mengikuti persidangan 21/2 minggu, di mana Waagner mewakili dirinya sendiri.
(z0 / ikut-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Key""
                        :op2 ""Waagner""))
    :ARG1 (z3 / persidangan
              :time (z4 / entitas-tanggal))
    :manner (z5 / cepat)
    :purpose (z6 / mewakili-01
                 :ARG0 z1
                 :ARG1 (z7 / dirinya)))"
"# ::id 3938
# ::annotator indoamrbart-mbart-fted
# ::snt Pemegang saham IDEC akan memiliki 50,5 persen dari saham perusahaan gabungan, dan pemegang saham biogen sisanya 49,5 persen.
(z0 / dan
    :op1 (z1 / memiliki-01
             :ARG0 (z2 / orang
                       :ARG0-of (z3 / memiliki-peran-org-91
                                    :ARG1 (z4 / perusahaan
                                              :wiki -
                                              :name (z5 / nama
                                                        :op1 ""IDEC""))
                                    :ARG2 (z6 / saham
                                              :mod (z7 / gabungan))))
             :ARG1-of (z8 / termasuk-91
                          :ARG2 (z9 / entitas-persentase)
                          :ARG3 (z10 / entitas-persentase)))
    :op2 (z11 / sisanya-01
              :ARG1 (z12 / orang
                         :ARG0-of (z13 / tahan-01
                                       :ARG1 (z14 / biogen)))
              :ARG2 (z15 / entitas-persentase)))"
"# ::id 3939
# ::annotator indoamrbart-mbart-fted
# ::snt Pejabat AS mengatakan loyalis Hussein tidak memerlukan perangkat penguping teknologi tinggi untuk mengumpulkan sejumlah besar informasi tentang kegiatan pejabat Amerika.
(z0 / mengatakan-01
    :ARG0 (z1 / negara
              :wiki ""UnitedStates""
              :name (z2 / nama
                        :op1 ""United""
                        :op2 ""States""))
    :ARG1 (z3 / memerlukan-01
              :ARG0 (z4 / orang
                        :wiki -
                        :name (z5 / nama
                                  :op1 ""Hussein"")
                        :ARG0-of (z6 / memiliki-peran-org-91
                                     :ARG2 (z7 / resmi)))
              :ARG1 (z8 / perangkat
                        :mod (z9 / penguping
                                 :mod (z10 / teknologi
                                           :mod (z11 / tinggi))))
              :purpose (z12 / tangkap-01
                            :ARG0 z4
                            :ARG1 (z13 / informasi
                                       :topic (z14 / aktivitas
                                                   :mod (z15 / pejabat
                                                             :mod (z16 / negara
                                                                       :wiki ""UnitedStates""
                                                                       :name (z17 / nama
                                                                                  :op1 ""America"")))))
                            :quant (z18 / besar))))"
"# ::id 3940
# ::annotator indoamrbart-mbart-fted
# ::snt Milberg Weiss Bershad Hynes & Lerach LLP mengatakan pihaknya mengajukan gugatan di pengadilan New York pada hari Senin atas nama Dana Pensiun Carpents Alaska Selatan.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Mil""
                        :op2 ""Weiss""
                        :op3 ""Hynes"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / perusahaan
                                     :wiki -
                                     :name (z5 / nama
                                               :op1 ""Lerach""
                                               :op2 ""LLP""))))
    :ARG1 (z6 / mengajukan-01
              :ARG0 z1
              :ARG1 (z7 / gugatan)
              :location (z8 / pengadilan
                            :location (z9 / kota
                                          :wiki ""NewYorkCity""
                                          :name (z10 / nama
                                                     :op1 ""New""
                                                     :op2 ""York"")))
              :time (z11 / entitas-tanggal
                         :weekday (z12 / senin)
                         :op1 ""Dana""
                         :op2 ""Pensiun""
                         :op3 ""Carpents""
                         :op4 ""Alaska""
                         :op5 ""Selatan"")))"
"# ::id 3941
# ::annotator indoamrbart-mbart-fted
# ::snt Kedua angka berada di bawah ekspektasi konsensus, tetapi penjualan Agustus direvisi menjadi peningkatan 1,2 persen dari kenaikan 0,6 persen yang dilaporkan sebelumnya, memicu reli dolar.
(z0 / kontras-01
    :ARG1 (z1 / ada-01
              :ARG0 (z2 / figure)
              :location (z3 / di-bawah
                            :op1 (z4 / ekspektasi
                                     :mod (z5 / konsensus)))
              :time (z6 / entitas-tanggal))
    :ARG2 (z7 / menjadi-01
              :ARG1 (z8 / entitas-laju-91
                        :ARG1 (z9 / entitas-persentase)
                        :ARG2 (z10 / entitas-laju-91
                                   :ARG1 (z11 / dolar)
                                   :ARG2 (z12 / entitas-laju-91
                                              :ARG1 (z13 / entitas-laju-91
                                                         :ARG2 (z14 / entitas-persentase)))))
              :time (z15 / sebelumnya
                         :op1 (z16 / entitas-tanggal))))"
"# ::id 3942
# ::annotator indoamrbart-mbart-fted
# ::snt Pengacara Keuskupan Agung Katolik Roma dan hampir 250 korban yang diduga mulai bertemu minggu lalu untuk mencapai penyelesaian di luar pengadilan.
(z0 / mulai-01
    :ARG0 (z1 / dan
              :op1 (z2 / bertemu-01
                       :ARG0 (z3 / orang
                                 :ARG0-of (z4 / memiliki-peran-org-91
                                              :ARG1 (z5 / organisasi
                                                        :wiki ""CatholicChurch""
                                                        :name (z6 / nama
                                                                  :op1 ""Catholic""
                                                                  :op2 ""Agung"")))))
              :op2 (z7 / korban
                       :quant (z8 / hampir
                                  :op1 250)
                       :ARG1-of (z9 / tersangka-01)))
    :time (z10 / minggu
               :mod (z11 / terakhir))
    :purpose (z12 / mencapai-02
                  :ARG0 z1
                  :ARG1-of (z13 / selesai-01
                                :location (z14 / pengadilan))))"
"# ::id 3943
# ::annotator indoamrbart-mbart-fted
# ::snt Dua penumpang lainnya dibawa ke rumah sakit John Peter Smith dan Harris Methodist Fort Worth dengan cedera kritis.
(z0 / bawa-01
    :ARG0 (z1 / penumpang
              :mod (z2 / lain))
    :ARG1 (z3 / dan
              :op1 (z4 / rumah-sakit
                       :wiki ""JohnPeterSmithHospital""
                       :name (z5 / nama
                                 :op1 ""John""
                                 :op2 ""Peter""
                                 :op3 ""Smith""))
              :op2 (z6 / rumah-sakit
                       :wiki ""HarrisMethodistFortWorth""
                       :name (z7 / nama
                                 :op1 ""Harris""
                                 :op2 ""Methodist""
                                 :op3 ""Fort""
                                 :op4 ""Worth"")))
    :destination (z8 / kritis))"
"# ::id 3944
# ::annotator indoamrbart-mbart-fted
# ::snt Undang -undang yang baru mensyaratkan perpustakaan dan sekolah untuk menggunakan filter atau kehilangan pembiayaan federal.
(z0 / memerlukan-01
    :ARG0 (z1 / undang
              :mod (z2 / baru))
    :ARG1 (z3 / menggunakan-01
              :ARG0 (z4 / dan
                        :op1 (z5 / perpustakaan)
                        :op2 (z6 / sekolah))
              :ARG1 (z7 / atau
                        :op1 (z8 / filter-01
                                 :ARG0 z4)
                        :op2 (z9 / kehilangan-01
                                 :ARG0 z4
                                 :ARG1 (z10 / pembiayaan
                                            :mod (z11 / federal))))))"
"# ::id 3945
# ::annotator indoamrbart-mbart-fted
# ::snt Pada awalnya, kinerja hewan menurun dibandingkan dengan sesi pada joystick.
(z0 / turun-01
    :ARG0 (z1 / kinerja
              :mod (z2 / hewan))
    :time (z3 / awalnya)
    :ARG1 (z4 / bandingkan-01
              :ARG1 (z5 / sesi
                        :mod (z6 / joystick))
              :ARG2 (z7 / sesi
                        :mod z6)))"
"# ::id 3946
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Publik dapat dipahami kehilangan kesabaran dengan panggilan telepon yang tidak diinginkan ini, intrusi yang tidak diinginkan,"""" katanya pada upacara Gedung Putih.""
(z0 / ujar-01
    :ARG0 (z1 / dia)
    :location (z2 / upacara
                  :poss (z3 / organisasi-pemerintah
                            :wiki ""WhiteHouse""
                            :name (z4 / nama
                                      :op1 ""White""
                                      :op2 ""House""))))"
"# ::id 3947
# ::annotator indoamrbart-mbart-fted
# ::snt Saham Lucent mati 7 sen, atau 3,7 persen, pada $ 1,84 dalam perdagangan pagi di New York Stock Exchange.
(z0 / mati-01
    :ARG0 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""Lucent""))
    :ARG1 (z3 / entitas-laju-91
              :ARG1 (z4 / kuantitas-moneter
                        :unit (z5 / sen))
              :ARG2 (z6 / entitas-laju-91
                        :ARG1 (z7 / entitas-laju-91
                                  :ARG1 (z8 / entitas-laju-91
                                            :ARG2 (z9 / entitas-laju-91
                                                      :ARG1 (z10 / kuantitas-moneter
                                                                 :unit (z11 / dolar))))
                                  :ARG2 (z12 / entitas-laju-91
                                             :ARG1 (z13 / entitas-laju-91
                                                        :ARG2 (z14 / entitas-laju-91
                                                                   :ARG1 (z15 / entitas-laju-91
                                                                              :ARG2 (z16 / entitas-tanggal
                                                                                         :dayperiod (z17 / pagi)))))))))
    :location (z18 / perusahaan
                   :wiki ""NewYorkStockExchange""
                   :name (z19 / nama
                              :op1 ""New""
                              :op2 ""York""
                              :op3 ""Stock""
                              :op4 ""Exchange"")))"
"# ::id 3948
# ::annotator indoamrbart-mbart-fted
# ::snt ""McBride menolak klaim kepemilikan UNIX Novell sebagai """"langkah putus asa untuk mengikat bantuan dengan komunitas Linux.""""""
(z0 / bubar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""McBride""))
    :ARG1 (z3 / klaim-01
              :ARG1 (z4 / sendiri-01
                        :ARG0 (z5 / orang
                                  :wiki -
                                  :name (z6 / nama
                                            :op1 ""Novell""))
                        :ARG1 (z7 / produk
                                  :wiki ""Linux""
                                  :name (z8 / nama
                                            :op1 ""Linux""))))
    :manner (z9 / putus-asa-01
                :ARG0 (z10 / langkah
                           :mod (z11 / putus-asa))
                :purpose (z12 / mengikat-01
                              :ARG0 z10
                              :ARG1 (z13 / bantuan-01
                                         :ARG0 (z14 / komunitas
                                                    :mod (z15 / Linux))))))"
"# ::id 3949
# ::annotator indoamrbart-mbart-fted
# ::snt Meskipun mereka tidak lagi mendapatkan kemuliaan, Desktop PC melebihi ekspektasi pengiriman IDC pada kuartal kedua, kata Kay.
(z0 / ujar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Kay""))
    :ARG1 (z3 / dan
              :op1 (z4 / mendapat-01
                       :ARG0 (z5 / mereka)
                       :ARG1 (z6 / kemuliaan)
                       :time (z7 / tidak-lagi))
              :op2 (z8 / melebihi-01
                       :ARG0 (z9 / desktop
                                 :mod (z10 / PC))
                       :ARG1 (z11 / ekspektasi
                                  :mod (z12 / pengiriman
                                            :mod (z13 / entitas-tanggal
                                                      :ord (z14 / entitas-ordinal)))))))"
"# ::id 3950
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Jelas ini adalah hari yang tragis bagi orang Amerika,"""" katanya di Washington.""
(z0 / ujar-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / hari
              :mod (z3 / tragis)
              :beneficiary (z4 / orang
                               :mod (z5 / negara
                                        :wiki ""UnitedStates""
                                        :name (z6 / nama
                                                  :op1 ""America""))))
    :location (z7 / Washington))"
"# ::id 3951
# ::annotator indoamrbart-mbart-fted
# ::snt ""Dalam sebuah editorial dalam jurnal, dua peneliti kanker payudara mengatakan efek hormon pada payudara menciptakan whammy ganda yang """"hampir unik"""" dalam kedokteran.""
(z0 / mengatakan-01
    :ARG0 (z1 / orang
              :ARG0-of (z2 / penelitian-01
                           :ARG1 (z3 / kanker
                                     :mod (z4 / payudara))))
    :ARG1 (z5 / buat-01
              :ARG0 (z6 / efek
                        :mod (z7 / hormon)
                        :location (z8 / payudara))
              :ARG1 (z9 / whammy
                        :mod (z10 / ganda))
              :location (z11 / kedokteran))
    :medium (z12 / editorial
                 :location (z13 / jurnal)))"
"# ::id 3952
# ::annotator indoamrbart-mbart-fted
# ::snt Produk terkait PC adalah penjual terkuat, dengan mikroprosesor naik 5,6 persen dan DRAM naik 8,2 persen, kata SIA.
(z0 / ujar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""SIA""))
    :ARG1 (z3 / dan
              :op1 (z4 / naik-01
                       :ARG1 (z5 / mikroprosesor)
                       :ARG2 (z6 / entitas-persentase))
              :op2 (z7 / naik-01
                       :ARG1 (z8 / produk
                                 :wiki ""DRAM""
                                 :name (z9 / nama
                                           :op1 ""DRAM""))
                       :ARG2 (z10 / entitas-persentase)))
    :manner (z11 / penjual
                 :ARG1-of (z12 / kuat-02)))"
"# ::id 3953
# ::annotator indoamrbart-mbart-fted
# ::snt Bulan lalu, The Washington Post Co. memperkenalkan Express, sebuah tabloid yang didistribusikan sebagian besar di sepanjang rute transit.
(z0 / memperkenalkan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Washington""
                        :op2 ""Post""
                        :op3 ""Co.""))
    :ARG1 (z3 / tabloid
              :wiki -
              :name (z4 / nama
                        :op1 ""Express""))
    :location (z5 / rute
                  :mod (z6 / transit))
    :time (z7 / bulan
              :mod (z8 / terakhir)))"
"# ::id 3954
# ::annotator indoamrbart-mbart-fted
# ::snt Setelah pertengkaran yang tegang, Battlewagon berbalik.
(z0 / balik-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Battlewagon""))
    :ARG1 (z3 / pertengkaran)
    :time (z4 / setelah
              :op1 (z5 / balik-01
                       :ARG0 z1)))"
"# ::id 3955
# ::annotator indoamrbart-mbart-fted
# ::snt Sepuluh, dua rumah mobil dan banyak bangunan luar dihancurkan oleh tembakan Boulder di barat laut yang sekarang merokok.
(z0 / menghancurkan-01
    :ARG0 (z1 / tembakan
              :poss (z2 / kota
                        :wiki ""Boulder,Colorado""
                        :name (z3 / nama
                                  :op1 ""Boulder""))
              :location (z4 / barat-laut))
    :ARG1 (z5 / dan
              :op1 (z6 / rumah
                       :mod (z7 / mobil))
              :op2 (z8 / bangunan
                       :mod (z9 / luar)
                       :quant (z10 / banyak)))
    :time (z11 / sekarang))"
"# ::id 3956
# ::annotator indoamrbart-mbart-fted
# ::snt Pengacara Limbaugh, Roy Black, telah menuduh Kantor Kejaksaan Negeri Palm Beach memiliki motif politik untuk menyelidiki apakah komentator radio konservatif membeli obat penghilang rasa sakit secara ilegal.
(z0 / menu
    :ARG0 (z2 / orang
              :wiki -
              :name (z3 / nama
                        :op1 ""Roy""
                        :op2 ""Black"")
              :ARG0-of (z4 / memiliki-peran-rel-91
                           :ARG1 (z5 / orang
                                     :wiki -
                                     :name (z6 / nama
                                               :op1 ""Limbaugh""))
                           :ARG2 (z7 / pengacara)))
    :ARG1 (z8 / kantor
              :wiki -
              :name (z9 / nama
                        :op1 ""Palm""
                        :op2 ""Beach""
                        :op3 ""Kejaksaan"")))"
"# ::id 3957
# ::annotator indoamrbart-mbart-fted
# ::snt Kecepatan tertinggi Ethernet dapat mencapai 40g bps (bit per detik) dalam dua tahun ke depan, seorang eksekutif senior Cisco Systems Inc. mengatakan Rabu.
(z0 / katakan-01
    :ARG0 (z1 / eksekutif
              :mod (z2 / senior)
              :poss (z3 / perusahaan
                        :wiki ""CiscoSystemsInc.""
                        :name (z4 / nama
                                  :op1 ""Cisco""
                                  :op2 ""Systems""
                                  :op3 ""Inc.""))
              :ARG0-of (z5 / memiliki-peran-org-91
                           :ARG2 (z6 / eksekutif
                                     :mod (z7 / senior))))
    :ARG1 (z8 / dapat-01
              :ARG1-of (z9 / memiliki-derajat-91
                           :ARG2 (z10 / tinggi-02
                                      :ARG1 z8)
                           :ARG3 (z11 / sama)
                           :ARG4 (z12 / kecepatan
                                      :mod (z13 / entitas-laju-91
                                                :ARG1 (z14 / entitas-laju-91
                                                           :ARG2 (z15 / kuantitas-sementara
                                                                      :unit (z16 / tahun)))))))
    :time (z17 / entitas-tanggal
               :weekday (z18 / rabu)))"
"# ::id 3958
# ::annotator indoamrbart-mbart-fted
# ::snt Banyak korban serangan hari Minggu telah keluar dari Irak untuk R&R atau cuti darurat.
(z0 / keluar-01
    :ARG0 (z1 / orang
              :ARG1 (z2 / korban
                        :mod (z3 / serangan)
                        :time (z4 / entitas-tanggal
                                  :weekday (z5 / minggu))))
    :source (z6 / negara
                :wiki ""Iraq""
                :name (z7 / nama
                          :op1 ""Iraq""))
    :purpose (z8 / atau
                 :op1 (z9 / publikasi
                          :wiki ""R&R""
                          :name (z10 / nama
                                     :op1 ""R&R""))
                 :op2 (z11 / cuti
                           :mod (z12 / darurat))))"
"# ::id 3959
# ::annotator indoamrbart-mbart-fted
# ::snt Dia juga menulis negara itu benar untuk melaksanakan surat perintah penggeledahan di toko.
(z0 / menulis-01
    :ARG0 (z1 / negara
              :mod (z2 / itu))
    :ARG1 (z3 / jalankan-01
              :ARG0 z1
              :ARG1 (z4 / surat
                        :mod (z5 / perintah))
              :location (z6 / toko))
    :manner (z7 / benar-01))"
"# ::id 3960
# ::annotator indoamrbart-mbart-fted
# ::snt ""Tiga serangan gaya main hakim sendiri seperti itu memaksa penyelenggara peretas, yang mengidentifikasi dirinya hanya sebagai """"Eleonora67,"""" untuk memperpanjang kontes hingga pukul 6 malam.EDT Minggu.""
(z0 / kekuatan-01
    :ARG0 (z1 / orang
              :ARG0 (z2 / peretas)
              :ARG0-of (z3 / identifikasi-01
                           :ARG1 (z4 / dia)
                           :ARG2 (z5 / orang
                                     :wiki -
                                     :name (z6 / nama
                                               :op1 ""Eleonora67""))
                           :manner (z7 / hanya)))
    :ARG1 (z8 / orang
              :ARG0-of (z9 / mengelola-01
                           :ARG1-of (z10 / peretas-01)))
    :ARG2 (z11 / memperpanjang-01
               :ARG0 z8
               :ARG1 (z12 / kontes)
               :ARG2 (z13 / sampai
                          :op1 (z14 / entitas-tanggal
                                    :time ""6:00"")))
    :time (z15 / entitas-tanggal
               :weekday (z16 / minggu)))"
"# ::id 3961
# ::annotator indoamrbart-mbart-fted
# ::snt Hanya satu dari lima bangunan di kompleks Baghdad dari Program Pengembangan PBB yang lolos yang dibakar, kata PBB di situs webnya.
(z0 / kata-01
    :ARG0 (z1 / organisasi
              :wiki ""UnitedNations""
              :name (z2 / nama
                        :op1 ""PBB""))
    :ARG1 (z3 / bakar-01
              :ARG1 (z4 / bangunan
                        :ARG1-of (z5 / termasuk-91
                                     :ARG2 (z6 / bangunan
                                               :location (z7 / kompleks
                                                             :location (z8 / kota
                                                                           :wiki ""Baghdad""
                                                                           :name (z9 / nama
                                                                                     :op1 ""Baghdad""))
                                                             :part (z10 / program
                                                                        :wiki ""DevelopmentProgram""
                                                                        :name (z11 / nama
                                                                                   :op1 ""Program""
                                                                                   :op2 ""Pengembangan""
                                                                                   :op3 ""PBB"")))))))
    :location (z12 / website
                   :poss z1))"
"# ::id 3962
# ::annotator indoamrbart-mbart-fted
# ::snt Hanya Intel Corporation yang memiliki hasil dividen yang lebih rendah.
(z0 / memiliki-01
    :ARG0 (z1 / perusahaan
              :wiki ""IntelCorporation""
              :name (z2 / nama
                        :op1 ""Intel""
                        :op2 ""Corporation""))
    :ARG1 (z3 / hasil
              :mod (z4 / dividen)
              :ARG1-of (z5 / memiliki-derajat-91
                           :ARG2 (z6 / rendah-04
                                     :ARG1 z3)
                           :ARG3 (z7 / lebih))))"
"# ::id 3963
# ::annotator indoamrbart-mbart-fted
# ::snt Saham Ahold naik 12 sen, atau 2,3 ​​persen, menjadi 5,35 euro di Amsterdam.
(z0 / naik-01
    :ARG1 (z1 / kuantitas-moneter
              :unit (z2 / sen))
    :ARG4 (z3 / entitas-laju-91
              :ARG1 (z4 / entitas-laju-91
                        :ARG1 (z5 / entitas-laju-91
                                  :ARG2 (z6 / entitas-laju-91
                                            :ARG1 (z7 / entitas-laju-91
                                                      :ARG2 (z8 / entitas-laju-91
                                                                :ARG1 (z9 / entitas-laju-91
                                                                          :ARG2 (z10 / entitas-laju-91
                                                                                     :ARG1 (z11 / kuantitas-moneter
                                                                                                :unit (z12 / euro))))
                                                                :ARG2 (z13 / entitas-laju-91
                                                                           :ARG1 (z14 / entitas-laju-91
                                                                                      :ARG2 (z15 / entitas-laju-91
                                                                                                 :ARG1 (z16 / entitas-laju-91
                                                                                                            :ARG2 (z17 / entitas-laju-91
                                                                                                                       :ARG3 (z18 / entitas-laju-91
                                                                                                                                  :ARG1 (z19 / entitas-laju-91
                                                                                                                                             :ARG2 (z20 / entitas-laju-91
                                                                                                                                                        :ARG3 (z21 / entitas-laju-91
                                                                                                                                                                   :ARG1 (z22 / entitas-laju-91
                                                                                                                                                                              :ARG2 (z23 / entitas-laju-91
                                                                                                                                                                                         :ARG3 (z24 / entitas-laju-91
                                                                                                                                                                                                    :ARG1 (z25 / entitas-laju-91
                                                                                                                                                                                                               :ARG2 (z26 / entitas-laju-91
                                                                                                                                                                                                                          :ARG3 (z27 / entitas-laju-91
                                                                                                                                                                                                                                     :ARG4 (z28 / entitas-laju-91
                                                                                                                                                                                                                                                :ARG3 (z29 / entitas-laju-91
                                                                                                                                                                                                                                                           :ARG4 (z30 / entitas-laju-91
                                                                                                                                                                                                                                                                      :ARG3 (z31 / entitas-laju-91
                                                                                                                                                                                                                                                                                 :ARG4 (z32 / entitas-laju-91
                                                                                                                                                                                                                                                                                            :ARG3 (z33 / entitas-laju-91
                                                                                                                                                                                                                                                                                                       :ARG4 (z34 / entitas-laju-91
                                                                                                                                                                                                                                                                                                                  :ARG3 (z35 / entitas-laju-91
                                                                                                                                                                                                                                                                                                                             :ARG4 (z1000 / entitas-laju-91
                                                                                                                                                                                                                                                                                                                                          :ARG3 (z1001 / entitas-laju-91
                                                                                                                                                                                                                                                                                                                                                       :ARG3 (z1002 / entitas-laju-91
                                                                                                                                                                                                                                                                                                                                                                    :ARG4 (z1003 / entitas-laju-91
                                                                                                                                                                                                                                                                                                                                                                                 :ARG3 (z1004 / entitas-laju-91
                                                                                                                                                                                                                                                                                                                                                                                              :ARG3 (z1005 / entitas-laju-91
                                                                                                                                                                                                                                                                                                                                                                                                           :ARG3 (z1006 / entitas-laju-91
                                                                                                                                                                                                                                                                                                                                                                                                                        :ARG3 ""entitas-laju-91""
                                                                                                                                                                                                                                                                                                                                                                                                                        :ARG3 ""entitas-laju-91""
                                                                                                                                                                                                                                                                                                                                                                                                                        :ARG3 ""entitas-laju""
                                                                                                                                                                                                                                                                                                                                                                                                                        :op2 ""entitas-tanggal""
                                                                                                                                                                                                                                                                                                                                                                                                                        :op1 ""entitas-tanggal""
                                                                                                                                                                                                                                                                                                                                                                                                                        :year ""Saham""))))))))))))))))))))))))
                                                                                                                                  :ARG2 (z1007 / kuantitas-moneter
                                                                                                                                               :quant (z1008 / kuantitas-moneter
                                                                                                                                                             :unit (z1009 / euro))))))))
                                                                           :ARG4 (z1010 / entitas-laju-91
                                                                                        :ARG1 (z36 / entitas-laju-91
                                                                                                   :ARG1 (z37 / kuantitas-laju-91
                                                                                                              :ARG2 (z38 / entitas-laju-91
                                                                                                                         :ARG3 (z39 / entitas-laju-91
                                                                                                                                    :ARG4 (z40 / entitas-laju-91
                                                                                                                                               :ARG1 (z41 / entitas-tanggal)))))))))))
                                  :location (z1011 / kota
                                                   :wiki ""Amsterdam""
                                                   :name (z1012 / nama
